,Airplane,Automobile,Bird,Cat,Deer,Dog,Frog,Horse,Ship,Truck
1.213905930519104,505,460,519,486,519,488,519,486,520,498
1.0940479040145874,15,41,10,18,5,10,8,6,18,17
1.0651594400405884,505,460,519,486,519,488,519,486,520,498
1.0327779054641724,36,10,17,11,17,7,10,29,71,32
1.0066577196121216,58,159,95,76,64,81,92,32,127,150
1.0017402172088623,81,121,59,71,85,100,59,136,29,87
0.9839461445808411,505,460,519,486,519,488,519,486,520,498
0.9758468270301819,12,7,13,2,12,2,5,5,3,1
0.9603562951087952,504,460,519,486,519,488,519,486,520,498
0.946952760219574,33,7,17,5,8,5,1,3,48,6
0.9453685879707336,24,6,50,19,22,27,18,30,56,18
0.9324078559875488,116,78,145,69,57,56,56,51,53,41
0.9244518876075745,34,7,35,7,8,4,4,4,13,6
0.9183276295661926,267,372,371,343,441,410,430,359,229,340
0.9046356678009033,28,34,8,12,7,4,17,4,51,14
0.8937873244285583,408,394,481,458,501,460,500,439,457,406
0.8804437518119812,483,437,481,480,510,481,510,472,512,490
0.8738948702812195,504,460,519,486,519,488,519,486,520,498
0.865178644657135,487,459,515,484,517,485,516,486,514,496
0.8531628251075745,505,460,519,486,519,488,519,486,520,498
0.8457549810409546,505,460,519,486,519,488,519,486,520,498
0.8376244306564331,505,460,519,486,519,488,519,486,520,498
0.8346447944641113,10,9,19,25,13,23,15,20,8,17
0.8282994627952576,498,450,513,477,508,478,501,482,507,464
0.8217849731445312,502,460,515,483,518,485,517,479,519,496
0.8153274655342102,505,460,519,486,519,488,519,486,520,498
0.8097851276397705,181,29,121,48,32,39,38,35,115,19
0.8039368987083435,1,0,1,0,0,0,0,0,0,0
0.7960314154624939,500,459,517,481,519,482,514,484,517,497
0.7871208190917969,112,128,74,72,34,37,93,40,118,149
0.7805236577987671,0,0,0,0,0,0,0,2,0,0
0.7773396372795105,505,460,519,486,519,488,518,486,520,498
0.7665287852287292,418,421,416,418,449,427,434,373,499,450
0.7538310289382935,292,77,135,44,36,47,41,39,162,58
0.7490654587745667,128,93,137,152,91,152,181,82,157,76
0.746274471282959,497,453,513,481,519,488,514,485,505,492
0.7399051785469055,505,460,519,486,519,488,519,486,520,498
0.7373009324073792,15,3,3,4,0,2,1,0,3,1
0.7319806218147278,505,460,519,486,519,488,519,486,520,498
0.7276902794837952,505,460,519,486,519,488,519,486,520,498
0.7145295739173889,500,460,518,486,518,487,518,485,519,498
0.7095071077346802,505,460,519,486,519,488,519,486,520,498
0.7050596475601196,213,124,214,74,156,126,118,128,201,67
0.7001185417175293,4,1,1,1,0,0,0,1,2,0
0.6858466267585754,490,459,510,485,516,487,519,484,519,497
0.681563675403595,51,33,27,33,20,30,29,29,61,24
0.6793457269668579,0,0,0,0,0,0,0,0,0,0
0.6737197041511536,377,311,389,361,421,323,365,396,433,405
0.6686452627182007,12,12,43,17,36,48,12,34,13,13
0.6676760315895081,342,178,192,202,138,207,151,126,318,224
0.6502472758293152,61,73,114,138,129,118,169,81,52,77
0.6470564603805542,5,0,3,0,0,0,0,0,1,0
0.6453449130058289,505,460,517,486,518,488,518,486,519,497
0.6396625638008118,0,0,0,0,0,0,0,0,0,0
0.6354848742485046,117,278,160,280,270,246,290,175,213,269
0.6333629488945007,247,189,228,164,222,209,204,232,213,270
0.6282914876937866,9,10,3,19,11,16,18,1,24,9
0.6253121495246887,28,53,63,40,81,47,42,63,37,60
0.6163731813430786,501,460,516,486,519,488,519,486,520,498
0.613219678401947,0,0,0,0,0,0,0,0,0,0
0.6119129061698914,353,340,344,334,332,326,385,326,333,405
0.6000034809112549,378,269,317,288,330,275,333,323,322,285
0.5959928035736084,505,460,519,486,519,488,519,486,520,498
0.5923486948013306,505,460,519,486,519,488,519,486,520,498
0.5847427845001221,0,0,0,0,0,0,0,0,0,0
0.5822429656982422,505,460,519,486,519,488,519,486,520,498
0.579619288444519,505,460,519,486,519,488,519,486,520,498
0.575372576713562,315,397,355,420,452,416,461,456,362,449
0.5696623921394348,5,0,0,2,1,1,1,0,4,0
0.5685478448867798,204,279,286,348,350,319,314,405,282,411
0.5589799284934998,505,460,519,486,519,488,519,486,520,498
0.5561664700508118,0,0,0,0,0,0,0,0,0,0
0.5516822338104248,505,460,519,486,519,488,519,486,520,498
0.550474226474762,505,460,519,486,519,488,519,486,520,498
0.548742949962616,87,22,61,27,12,10,18,22,46,27
0.5416687726974487,479,434,475,436,479,425,482,454,490,470
0.5395722389221191,338,244,426,308,413,379,329,368,322,235
0.5370868444442749,27,11,14,5,4,0,3,7,23,4
0.5321528911590576,0,0,0,0,0,0,0,0,0,0
0.528295636177063,5,2,5,0,0,1,1,0,1,0
0.525102972984314,505,460,519,486,519,488,519,486,520,498
0.5198017358779907,472,447,494,470,515,485,513,483,488,495
0.5127922296524048,24,10,26,27,29,20,25,30,17,10
0.5106625556945801,0,0,0,0,0,0,0,0,0,0
0.5077077150344849,0,0,0,0,0,0,0,0,0,0
0.5020440220832825,0,0,0,0,0,0,1,0,0,0
0.5009313225746155,390,300,425,432,442,426,452,420,405,380
0.495618611574173,373,438,435,458,476,437,508,466,443,487
0.4917665719985962,2,0,3,3,2,2,2,0,0,0
0.489317923784256,0,0,0,0,0,0,0,0,0,0
0.4887916147708893,12,0,5,0,0,0,0,0,1,0
0.4843655526638031,0,0,0,0,0,0,0,0,0,0
0.48260244727134705,0,0,1,0,0,0,0,0,0,0
0.4787609577178955,498,460,515,486,519,488,519,486,520,498
0.4774441123008728,505,460,519,486,519,488,519,486,520,498
0.4730718433856964,5,2,10,12,13,3,20,5,7,2
0.46889805793762207,0,0,0,0,0,0,0,0,0,0
0.4667537212371826,1,0,0,0,0,0,0,0,0,0
0.46446576714515686,1,0,1,0,0,0,0,0,1,0
0.46372053027153015,491,458,514,485,519,487,518,485,511,494
0.4602349102497101,500,458,515,484,519,488,519,485,519,498
0.45773470401763916,0,0,0,0,0,0,0,0,2,0
0.45637765526771545,1,2,1,1,2,0,1,1,1,0
0.45203348994255066,0,0,0,0,0,0,0,0,0,0
0.44911494851112366,0,0,0,0,0,0,0,0,0,0
0.44782960414886475,284,399,314,402,433,385,428,423,382,467
0.44211649894714355,0,0,0,0,0,0,0,0,0,0
0.440010666847229,1,0,1,2,2,0,2,1,2,0
0.43792274594306946,21,2,14,2,7,5,5,2,11,3
0.4362691044807434,0,0,0,0,0,0,0,0,0,0
0.42859727144241333,0,0,0,0,0,0,0,0,0,0
